,IP_8080
0,"{'amp_fac': 62.0, 'request_code': 1}"
1,"{'amp_fac': 1.0, 'request_code': 3}"
2,"{'amp_fac': 1.0, 'request_code': 11}"
3,"{'amp_fac': 2.0, 'request_code': 12}"
4,"{'amp_fac': 1.0, 'request_code': 15}"
5,"{'amp_fac': 65.11111111111111, 'request_code': 16}"
6,"{'amp_fac': 1.0, 'request_code': 17}"
7,"{'amp_fac': 1.0, 'request_code': 23}"
8,"{'amp_fac': 1.0, 'request_code': 24}"
9,"{'amp_fac': 1.0, 'request_code': 36}"
10,"{'amp_fac': 1.0, 'request_code': 40}"
11,"{'amp_fac': 2.0, 'request_code': 43}"
